Time (s),Voltage (V),Current (mA),Charge (mA.h),Temperature (degC)
49633.99635748821,3.1082301,-499.96613,4495.092687599877,26.542444
49634.99635753571,3.1081121,-500.02524,4495.231571921844,26.566172
49635.99635758321,3.1081514,-500.00555,4495.370457173495,26.471268
49636.99635763071,3.1079938,-499.96613,4495.509341396653,26.63735
49637.9963576782,3.1078758,-499.98584,4495.648224219597,26.35264
49638.9963577257,3.1077969,-500.06464,4495.787108344183,26.518719
49639.9963577732,3.1076789,-500.02524,4495.925992217169,26.526628
49640.9963578207,3.1076396,-500.06464,4496.064876057348,26.581989
49641.99635786819,3.1075213,-500.04495,4496.203758858166,26.313095
49642.99635791569,3.107482,-499.92676,4496.342643420781,26.502903
49643.99635796319,3.1073639,-499.98584,4496.481527895625,26.653166
49644.99635801069,3.1072063,-500.08429,4496.620412950845,26.447542
49645.99635805818,3.1070881,-500.04495,4496.759296638199,26.265644
49646.99635810568,3.1069701,-500.00555,4496.898179854717,26.550354
49647.99635815318,3.1069701,-499.90707,4497.037063639948,26.487087
49648.99635820067,3.1068518,-499.98584,4497.175947348766,26.621532
49649.99635824817,3.1067338,-499.92676,4497.314831539338,26.297279
49650.99635829567,3.1066549,-500.08429,4497.453715675165,26.384275
49651.99635834317,3.1065762,-499.98584,4497.592599624682,26.668983
49652.99635839066,3.1063399,-499.94644,4497.731483990018,26.455452
49653.99635843816,3.1063399,-500.12369,4497.870368147546,26.502903
49654.99635848566,3.1062217,-499.98584,4498.009251845683,26.455452
49655.99635853316,3.1061037,-499.96613,4498.148134909055,26.550354
49656.99635858065,3.1059854,-499.96613,4498.287019602811,26.605715
49657.99635862815,3.1059067,-499.96613,4498.425903869982,26.716436
49658.99635867565,3.1057098,-499.94644,4498.56478613437,26.668983
49659.99635872315,3.1056705,-499.92676,4498.703668475491,26.265644
49660.99635877064,3.1057098,-499.96613,4498.842551232432,26.321005
49661.99635881814,3.1055918,-500.00555,4498.981434328542,26.62944
49662.99635886564,3.1053948,-499.92676,4499.120316942797,26.534538
49663.99635891314,3.1053948,-499.98584,4499.259199458971,26.447542
49664.99635896063,3.1051979,-499.96613,4499.398080880853,26.534538
49665.99635900813,3.105119,-499.98584,4499.536964447646,26.526628
49666.99635905563,3.1050403,-499.86768,4499.675847959321,26.510813
49667.99635910313,3.1048827,-500.04495,4499.814730300562,26.518719
49668.99635915062,3.1048434,-500.00555,4499.953613451247,26.645258
49669.99635919812,3.104686,-499.96613,4500.092497039911,26.581989
49670.99635924562,3.1045678,-500.00555,4500.231379534367,26.265644
49671.99635929312,3.1045678,-499.94644,4500.370262871396,26.487087
49672.99635934061,3.1044891,-500.00555,4500.509144566987,26.518719
49673.99635938811,3.1043708,-499.98584,4500.648027280373,26.510813
49674.99635943561,3.1041739,-499.92676,4500.786910518593,26.550354
49675.99635948311,3.1040559,-499.88736,4500.925793647136,26.534538
49676.9963595306,3.1040559,-499.98584,4501.064676338464,26.613625
49677.9963595781,3.103977,-499.98584,4501.203559937741,26.431726
49678.9963596256,3.1037803,-499.96613,4501.342444204675,26.81134
49679.9963596731,3.1037407,-499.96613,4501.481327990075,26.376366
49680.99635972059,3.1036227,-499.96613,4501.62021141447,26.415907
49681.99635976809,3.1035044,-499.94644,4501.759095002964,26.518719
49682.99635981559,3.1034257,-500.02524,4501.897980210874,26.566172
49683.99635986309,3.1033471,-500.02524,4502.036863504247,26.550354
49684.99635991058,3.1031501,-499.88736,4502.175745801949,26.62944
49685.99635995808,3.1031501,-499.98584,4502.314630736455,26.518719
49686.99636000558,3.1030319,-500.04495,4502.45351493798,26.550354
49687.99636005308,3.1029532,-500.00555,4502.592399642841,26.423817
49688.99636010057,3.1027956,-499.98584,4502.731283428598,26.297279
49689.99636014807,3.1027563,-499.98584,4502.870165824364,26.566172
49690.99636019557,3.102638,-500.00555,4503.009050189801,26.439632
49691.99636024307,3.1025593,-499.98584,4503.147933811102,26.558264
49692.99636029056,3.1023624,-499.98584,4503.286818253071,26.581989
49693.99636033806,3.1023624,-500.00555,4503.42570028783,26.724344
49694.99636038556,3.1021655,-499.84796,4503.564582924464,26.63735
49695.99636043306,3.1021261,-499.98584,4503.70346518875,26.415907
49696.99636048055,3.1019292,-499.90707,4503.8423489417,26.510813
49697.99636052805,3.1019685,-499.96613,4503.981230987039,26.400091
49698.99636057555,3.1019685,-500.00555,4504.120112551115,26.415907
49699.99636062304,3.1017323,-500.16309,4504.258996664885,26.510813
49700.99636067054,3.1016929,-499.96613,4504.397880351815,26.479177
49701.99636071804,3.1016142,-499.94644,4504.536763710749,26.479177
49702.99636076554,3.101378,-499.96613,4504.675648371733,26.566172
49703.99636081303,3.1014173,-499.96613,4504.814532146503,26.376366
49704.99636086053,3.101299,-499.96613,4504.953416818388,26.542444
49705.99636090803,3.1012597,-499.88736,4505.092301523385,26.558264
49706.99636095553,3.1010234,-500.00555,4505.231184203743,26.526628
49707.99636100302,3.1008661,-500.02524,4505.370068197189,26.479177
49708.99636105052,3.1008661,-500.02524,4505.508953164671,26.35264
49709.99636109802,3.1007085,-500.06464,4505.647837420449,26.384275
49710.99636114552,3.1006691,-499.98584,4505.786719870858,26.534538
49711.99636119301,3.1005116,-499.96613,4505.925603907961,26.321005
49712.99636124051,3.1004329,-500.08429,4506.064487912495,26.534538
49713.99636128801,3.1003933,-500.12369,4506.203370406866,26.550354
49714.99636133551,3.1002753,-500.02524,4506.34225364529,26.63735
49715.996361383,3.1001966,-499.96613,4506.481136040988,26.423817
49716.9963614305,3.100039,-499.90707,4506.620018535325,26.455452
49717.996361478,3.0999601,-499.78891,4506.75890143463,26.502903
49718.9963615255,3.0998814,-500.02524,4506.897783929018,26.510813
49719.99636157299,3.0996845,-499.96613,4507.036665066459,26.542444
49720.99636162049,3.0995665,-499.96613,4507.175548885039,26.613625
49721.99636166799,3.0995271,-499.98584,4507.314433053638,26.581989
49722.99636171549,3.0994482,-500.06464,4507.453316620617,26.502903
49723.99636176298,3.0994089,-500.02524,4507.592198064438,26.510813
49724.99636181048,3.0992119,-499.96613,4507.731081357488,26.589899
49725.99636185798,3.0990939,-499.90707,4507.869965230253,26.57408
49726.99636190548,3.0989757,-499.98584,4508.008849289396,26.313095
